#,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region
20,Ukraine,"4,809,624",,"105,505",,"4,058,020",,"646,099",177,"111,087","2,437","19,521,252","450,879","43,295,968",Europe
21,South Africa,"3,675,691","+1,649","99,430",+18,"3,551,039","+7,930","25,222",546,"60,701","1,642","23,111,817","381,672","60,554,202",Africa
22,Philippines,"3,663,054","+1,062","56,451",,"3,554,967","+1,603","51,636",298,"32,703",504,"28,203,435","251,793","112,010,322",Asia
23,Israel,"3,641,304","+6,794","10,218",+20,"3,557,940","+10,930","73,146",574,"390,446","1,096","41,373,364","4,436,346","9,326,000",Asia
24,Vietnam,"3,599,180","+99,916","40,338",+86,"2,479,883","+40,932","1,078,959","3,851","36,430",408,"79,309,194","802,744","98,797,607",Asia
25,Czechia,"3,587,946","+10,145","38,738",+47,"3,463,082","+13,472","86,126",203,"334,008","3,606","52,650,835","4,901,361","10,742,084",Europe
26,Belgium,"3,557,314","+2,498","30,179",+17,"3,025,804","+48,201","501,331",241,"304,730","2,585","31,718,358","2,717,087","11,673,662",Europe
27,Peru,"3,518,721","+1,461","210,744",+72,N/A,N/A,N/A,948,"104,299","6,247","27,407,063","812,378","33,736,832",South America
28,Malaysia,"3,468,590","+25,854","32,827",+78,"3,142,112","+25,548","293,651",374,"104,928",993,"49,763,443","1,505,396","33,056,709",Asia
29,Canada,"3,296,874","+3,894","36,638",+36,"3,148,232","+2,359","112,004",666,"86,095",957,"58,238,581","1,520,850","38,293,437",North America
30,Portugal,"3,273,624","+11,006","21,086",+23,"2,787,126","+1,752","465,412",96,"322,615","2,078","37,805,639","3,725,733","10,147,169",Europe
31,S. Korea,"3,273,449","+138,993","8,170",+112,"969,524",,"2,295,755",727,"63,757",159,"15,804,065","307,815","51,342,704",Asia
32,Australia,"3,236,095","+25,017","5,212",+41,"3,030,616","+28,929","200,267",131,"124,500",201,"63,589,227","2,446,425","25,992,716",Australia/Oceania
33,Chile,"3,077,710","+15,348","42,381",+28,"2,097,387","+30,324","937,942","1,107","158,730","2,186","33,063,514","1,705,222","19,389,568",South America
34,Thailand,"2,912,347","+20,420","22,979",+43,"2,673,646","+18,297","215,722",687,"41,550",328,"17,270,775","246,402","70,091,808",Asia
35,Switzerland,"2,816,887","+23,879","13,247",+4,"2,194,859","+23,423","608,781",137,"321,560","1,512","18,703,625","2,135,101","8,760,067",Europe
36,Romania,"2,741,945","+8,461","63,588",+146,"2,510,046","+20,268","168,311",892,"144,132","3,343","21,103,210","1,109,302","19,023,859",Europe
37,Austria,"2,704,530","+24,788","14,841",+32,"2,423,154","+27,684","266,535",191,"297,462","1,632","159,433,227","17,535,520","9,092,016",Europe
38,Denmark,"2,651,267","+17,508","4,649",+37,"2,284,016","+40,750","362,602",43,"455,060",798,"125,456,753","21,533,248","5,826,188",Europe
39,Sweden,"2,451,486","+3,064","17,389",+3,"2,141,849","+49,366","292,248",69,"240,243","1,704","18,174,812","1,781,114","10,204,183",Europe
40,Greece,"2,438,872","+17,208","25,914",+54,"2,229,561","+38,869","183,397",408,"235,908","2,507","66,001,463","6,384,219","10,338,221",Europe
41,Iraq,"2,303,816","+1,023","24,999",+10,"2,246,473","+2,829","32,344",124,"55,214",599,"17,988,894","431,130","41,724,991",Asia
42,Bangladesh,"1,944,376",+799,"29,045",+8,"1,822,125","+7,460","93,206","1,275","11,614",173,"13,425,156","80,187","167,422,637",Asia
43,Serbia,"1,913,861","+2,886","15,280",+39,"1,811,546","+9,538","87,035",105,"220,523","1,761","8,769,892","1,010,504","8,678,729",Europe
44,Hungary,"1,789,581","+2,037","44,051",+102,"1,595,008","+6,165","150,522",136,"186,037","4,579","10,789,819","1,121,664","9,619,478",Europe
45,Jordan,"1,638,228","+6,520","13,849",+14,"1,546,429","+10,651","77,950",694,"157,949","1,335","16,319,298","1,573,419","10,371,869",Asia
46,Georgia,"1,612,319","+6,847","16,199",+36,"1,513,164","+9,003","82,956",,"405,471","4,074","15,917,950","4,003,098","3,976,408",Asia
47,Pakistan,"1,510,221",+861,"30,196",+18,"1,443,284",,"36,741",988,"6,623",132,"26,464,518","116,055","228,033,633",Asia
48,Slovakia,"1,458,129","+11,207","18,530",+45,"1,250,084","+18,864","189,515",232,"266,859","3,391","6,402,442","1,171,740","5,464,048",Europe
49,Ireland,"1,303,720","+3,298","6,508",+11,"1,172,639","+4,378","124,573",48,"259,206","1,294","11,388,656","2,264,298","5,029,664",Europe
50,Kazakhstan,"1,302,550",+228,"13,606",+10,"1,269,129","+1,627","19,815",528,"68,015",710,"11,575,012","604,414","19,150,815",Asia
51,Norway,"1,257,079","+14,919","1,664",+12,"88,952",,"1,166,463",18,"228,898",303,"9,852,076","1,793,941","5,491,863",Europe
52,Morocco,"1,161,131",+156,"15,994",+6,"1,141,414",+694,"3,723",293,"30,849",425,"11,237,010","298,545","37,639,296",Africa
53,Bulgaria,"1,093,920","+2,641","35,637",+56,"843,574","+3,397","214,709",461,"159,434","5,194","9,206,636","1,341,823","6,861,291",Europe
54,Lebanon,"1,070,696","+1,986","10,104",+13,"682,977",,"377,615",186,"158,048","1,491","4,795,578","707,885","6,774,515",Asia
55,Cuba,"1,070,258",+396,"8,495",+1,"1,059,246",+606,"2,517",34,"94,587",751,"12,920,253","1,141,860","11,315,096",North America
56,Croatia,"1,055,943","+1,149","15,101",+32,"1,029,954","+2,133","10,888",91,"259,887","3,717","4,519,621","1,112,362","4,063,084",Europe
57,Tunisia,"999,441","+1,211","27,824",+40,"953,587","+2,714","18,030",222,"83,116","2,314","4,350,544","361,803","12,024,624",Africa
58,Nepal,"977,076",+92,"11,938",+2,"957,167",+354,"7,971",100,"32,559",398,"5,426,067","180,812","30,009,423",Asia
59,Belarus,"921,263","+1,527","6,493",+13,"909,667","+1,535","5,103",,"97,549",688,"12,444,066","1,317,649","9,444,144",Europe
60,Lithuania,"907,241","+4,687","8,455",+13,"817,984","+9,337","80,802",95,"341,196","3,180","7,759,087","2,918,043","2,659,004",Europe
